,Date,Value
0,2017-12-29,1
1,2018-01-02,1
2,2018-01-03,1
3,2018-01-04,1
4,2018-01-05,1
5,2018-01-08,1
6,2018-01-09,1
7,2018-01-10,1
8,2018-01-11,1
9,2018-01-12,1
10,2018-01-15,1
11,2018-01-16,1
12,2018-01-17,1
13,2018-01-18,1
14,2018-01-19,1
15,2018-01-22,1
16,2018-01-23,1
17,2018-01-24,0
18,2018-01-25,0
19,2018-01-26,0
20,2018-01-29,0
21,2018-01-30,0
22,2018-01-31,0
23,2018-02-01,0
24,2018-02-02,0
25,2018-02-05,0
26,2018-02-06,0
27,2018-02-07,0
28,2018-02-08,0
29,2018-02-09,0
30,2018-02-12,0
31,2018-02-21,0
32,2018-02-22,0
33,2018-02-23,0
34,2018-02-26,0
35,2018-02-27,0
36,2018-03-01,0
37,2018-03-02,0
38,2018-03-05,0
39,2018-03-06,0
40,2018-03-07,0
41,2018-03-08,0
42,2018-03-09,0
43,2018-03-12,0
44,2018-03-13,0
45,2018-03-14,0
46,2018-03-15,0
47,2018-03-16,1
48,2018-03-19,1
49,2018-03-20,1
50,2018-03-21,1
51,2018-03-22,1
52,2018-03-23,1
53,2018-03-26,1
54,2018-03-27,1
55,2018-03-28,1
56,2018-03-29,1
57,2018-03-30,1
58,2018-04-02,1
59,2018-04-03,1
60,2018-04-09,1
61,2018-04-10,1
62,2018-04-11,1
63,2018-04-12,1
64,2018-04-13,1
65,2018-04-16,1
66,2018-04-17,1
67,2018-04-18,1
68,2018-04-19,1
69,2018-04-20,1
70,2018-04-23,1
71,2018-04-24,1
72,2018-04-25,1
73,2018-04-26,1
74,2018-04-27,1
75,2018-04-30,1
76,2018-05-02,1
77,2018-05-03,1
78,2018-05-04,1
79,2018-05-07,1
80,2018-05-08,1
81,2018-05-09,1
82,2018-05-10,1
83,2018-05-11,1
84,2018-05-14,1
85,2018-05-15,1
86,2018-05-16,1
87,2018-05-17,1
88,2018-05-18,1
89,2018-05-21,1
90,2018-05-22,1
91,2018-05-23,1
92,2018-05-24,1
93,2018-05-25,1
94,2018-05-28,1
95,2018-05-29,1
96,2018-05-30,1
97,2018-05-31,1
98,2018-06-01,1
99,2018-06-04,1
100,2018-06-05,1
101,2018-06-06,1
102,2018-06-07,1
103,2018-06-08,1
104,2018-06-11,1
105,2018-06-12,1
106,2018-06-13,1
107,2018-06-14,1
108,2018-06-15,1
109,2018-06-19,1
110,2018-06-20,1
111,2018-06-21,1
112,2018-06-22,1
113,2018-06-25,1
114,2018-06-26,1
115,2018-06-27,1
116,2018-06-28,1
117,2018-06-29,1
118,2018-07-02,1
119,2018-07-03,1
120,2018-07-04,1
121,2018-07-05,1
122,2018-07-06,1
123,2018-07-09,1
124,2018-07-10,1
125,2018-07-11,1
126,2018-07-12,1
127,2018-07-13,1
128,2018-07-16,1
129,2018-07-17,1
130,2018-07-18,1
131,2018-07-19,1
132,2018-07-20,1
133,2018-07-23,1
134,2018-07-24,1
135,2018-07-25,1
136,2018-07-26,1
137,2018-07-27,1
138,2018-07-30,1
139,2018-07-31,1
140,2018-08-01,1
141,2018-08-02,1
142,2018-08-03,1
143,2018-08-06,1
144,2018-08-07,1
145,2018-08-08,1
146,2018-08-09,1
147,2018-08-10,1
148,2018-08-13,1
149,2018-08-14,1
150,2018-08-15,1
151,2018-08-16,1
152,2018-08-17,1
153,2018-08-20,1
154,2018-08-21,1
155,2018-08-22,1
156,2018-08-23,1
157,2018-08-24,1
158,2018-08-27,1
159,2018-08-28,1
160,2018-08-29,1
161,2018-08-30,1
162,2018-08-31,1
163,2018-09-03,1
164,2018-09-04,1
165,2018-09-05,1
166,2018-09-06,1
167,2018-09-07,1
168,2018-09-10,1
169,2018-09-11,1
170,2018-09-12,1
171,2018-09-13,1
172,2018-09-14,1
173,2018-09-17,1
174,2018-09-18,1
175,2018-09-19,1
176,2018-09-20,1
177,2018-09-21,1
178,2018-09-25,1
179,2018-09-26,1
180,2018-09-27,1
181,2018-09-28,1
182,2018-10-01,1
183,2018-10-02,1
184,2018-10-03,1
185,2018-10-04,1
186,2018-10-05,0
187,2018-10-08,0
188,2018-10-09,0
189,2018-10-11,0
190,2018-10-12,1
191,2018-10-15,1
192,2018-10-16,1
193,2018-10-17,1
194,2018-10-18,1
195,2018-10-19,1
196,2018-10-22,1
197,2018-10-23,1
198,2018-10-24,1
199,2018-10-25,1
200,2018-10-26,1
201,2018-10-29,1
202,2018-10-30,1
203,2018-10-31,1
204,2018-11-01,1
205,2018-11-02,1
206,2018-11-05,1
207,2018-11-06,1
208,2018-11-07,1
209,2018-11-08,1
210,2018-11-09,1
211,2018-11-12,1
212,2018-11-13,1
213,2018-11-14,1
214,2018-11-15,1
215,2018-11-16,1
216,2018-11-19,0
217,2018-11-20,0
218,2018-11-21,0
219,2018-11-22,0
220,2018-11-23,0
221,2018-11-26,0
222,2018-11-27,0
223,2018-11-28,0
224,2018-11-29,0
225,2018-11-30,0
226,2018-12-03,0
227,2018-12-04,0
228,2018-12-05,0
229,2018-12-06,0
230,2018-12-07,0
231,2018-12-10,0
232,2018-12-11,0
233,2018-12-12,0
234,2018-12-13,0
235,2018-12-14,0
236,2018-12-17,1
237,2018-12-18,1
238,2018-12-19,1
239,2018-12-20,1
240,2018-12-21,1
241,2018-12-24,1
242,2018-12-25,1
243,2018-12-26,1
244,2018-12-27,1
245,2018-12-28,1
246,2019-01-02,1
247,2019-01-03,1
248,2019-01-04,1
249,2019-01-07,1
250,2019-01-08,1
251,2019-01-09,1
252,2019-01-10,1
253,2019-01-11,1
254,2019-01-14,1
255,2019-01-15,1
256,2019-01-16,1
257,2019-01-17,1
